"","","","","","40"," Vorkath ","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","2"," vorkath Head ","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"22111","","","","88,422","30"," dragonbone necklace ","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","","","","","","","","","","","",""
"","","","","","0"," any visage ","","","","","","","","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"11286","","","","3,857,298","80"," draconic visage (bonus) ","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22006","","","","14,329,321","80"," skeletal visage (bonus) ","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","","","","","",""
"22106","","","","56,578","80"," jar of decay (bonus) ","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","",""
"","","","","","40"," pet (bonus) ","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","50"," Vardorvis ","","x","x","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","","","","","","","","","","","",""
"28334","","","","309,772","3"," awakener's orb ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","",""
"","","","","","8"," blood quartz ","","x","x","x","x","x","","x","x","x","","","","","","","","","","x","x","x","x","","","x","x","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"28276","","","","43,079","12"," chromium ingot ","","x","x","x","x","x","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"28307","","","","114,178,998","36"," ultor vestige ","","x","x","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","","","","","x","x","","","","","","","","","","","","","","","",""
"28338","","","","101,328,447","36"," executioner's axe head ","","x","x","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","",""
"","","","","","50"," pet (bonus) ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","",""
"","","","","","50"," Duke Sucellus ","","x","x","","","","","x","x","x","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","x","x","","","","","x","","","","","","","","","","",""
"28334","","","","309,772","2"," awakener's orb ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x",""
"","","","","","8"," ice quartz ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","","","","","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","x","x","","","","","","","",""
"28276","","","","43,079","10"," chromium ingot ","","x","x","x","x","","","x","x","x","x","x","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","","","x","x","x","x","","","x","","","","",""
"28313","","","","26,348,529","30"," magus vestige ","","x","x","x","","","","x","x","x","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","x","x","","","","","x","","","","","","","","","","",""
"28338","","","","101,328,447","30"," eye of the duke ","","x","x","","","","","x","x","x","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","x","x","","","","","x","","","","","","x","","","","",""
"","","","","","50"," pet (bonus) ","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","",""
"","","","","","50"," The Whisperer ","","x","x","","","","","x","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","",""
"28334","","","","309,772","2"," awakener's orb ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","",""
"28276","","","","43,079","8"," chromium ingot ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","","","","","","x","","","","",""
"","","","","","10"," shadow quartz ","","x","x","x","","","","x","x","x","x","","","","","","","","","x","x","x","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","",""
"28316","","","","23,174,058","24"," bellator vestige ","","x","x","","","","","x","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","","","x","","","","","","x","x","x","x","x","","x","","","","","","","","","","",""
"28338","","","","101,328,447","24"," siren's staff ","","x","x","","","","","x","x","x","x","","","","","","","","","x","","","","","","x","x","x","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","","","","","x","","","","","","x","","","","",""
"","","","","","50"," pet (bonus) ","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","","","","","","","","","","","","","","",""
"","","","","","50"," The Leviathan ","","x","x","x","x","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","","","","","","","","","","","","","","","",""
"28334","","","","309,772","2"," awakener's orb ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x",""
"","","","","","8"," smoke quartz ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","","",""
"28276","","","","43,079","10"," chromium ingot ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","","","x","x","x","x","x",""
"28310","","","","47,833,191","30"," venator vestige ","","x","x","x","x","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","","","","","","","","","","","","","","","",""
"28338","","","","101,328,447","30"," leviathan's lure ","","x","x","x","x","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","","","","","","","","","","","","","","",""
"","","","","","50"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","",""
"","","","","","20"," Virtus set ","","x","x","x","","","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","","","","","","","","","","","",""
"26241","","","","5,838,156","10"," virtus mask ","","x","x","x","x","x","","x","x","x","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","","","","",""
"26243","","","","36,967,534","10"," virtus robe top ","","x","x","x","","","","x","x","x","","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","","","","","","","x","x","","","",""
"26245","","","","26,706,977","10"," virtus robe bottom ","","x","x","x","","","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","","","","","","","","","",""
"","","","","","20"," Obsidian armour set ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"6568","","","","513,317","2"," obsidian cape ","","x","x","x","","","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"6524","","","","301,840","4"," toktz-ket-xil (shield) ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","",""
"21298","","","","746,886","10"," obsidian helmet ","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","","","","","","","","","","","","","","",""
"21301","","","","1,162,079","10"," obsidian platebody ","","x","x","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","","","","","","","","","","","","","","","","",""
"21304","","","","897,805","10"," obsidian platelegs ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","","","","","","","","",""
"","","","","","20"," Phantom Muspah ","","x","x","","","","","x","x","","","","","","","","","","","x","x","x","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"","","","","","1"," frozen cache  (1, 3, 5, 7, 9) ","","x","x","x","x","x","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","","","","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","",""
"","","","","","1"," frozen cache  (2, 4, 6, 8, 10) ","","x","x","x","x","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","","","","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","",""
"","","","","","2"," ancient icon  (1, 3, 5, 7, 9) ","","x","x","","","","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","",""
"","","","","","2"," ancient icon  (2, 4, 6, 8, 10) ","","x","x","","","","","x","x","","","","","","","","","","","x","x","x","x","x","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"27614","","","","12,781,007","4"," venator shard ","","x","x","x","x","x","","x","x","","","","","","","","","","","x","x","x","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"","","","","","50"," pet (bonus) ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","30"," Kalphite Queen ","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","",""
"","","","","","3"," kq head ","","x","x","x","x","x","","x","x","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","","","","x","","","","","","x","x","","","",""
"3140","","","","193,601","3"," dragon chainbody ","","x","x","x","x","x","","x","","","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","","","x","","","","","","x","x","","","",""
"11920","","","","572,299","5"," dragon pickaxe ","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","","",""
"7158","","","","133,554","5"," dragon 2h ","","x","x","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","","","",""
"12885","","","","637,458","40"," jar of sand (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","",""
"","","","","","30"," pet (bonus) ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","",""
"","","","","","30"," Hueycoatl ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","",""
"30085","","","","476,786","2"," hide drop  (1, 4, 7, 10, 13) ","","x","","","","","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","x","","","","x","x","","","","","","","","","",""
"30085","","","","476,786","2"," hide drop  (2, 5, 8, 11, 14) ","","x","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","x","","","","x","","","","","","","","","","",""
"30085","","","","476,786","2"," hide drop  (3, 6, 9, 12, 15) ","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","",""
"30066","","","","653,408","5"," tome of earth ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","",""
"30070","","","","12,386,604","15"," dragon hunter wand ","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","x","","","","",""
"","","","","","30"," pet (bonus) ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","",""
"","","","","","100"," Nightmare ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24422","","","","39,247,490","15"," nightmare staff ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","","","","","",""
"24417","","","","337,130,313","35"," inquisitor's mace ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24419","","","","74,738,815","20"," inquisitor's great helm ","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24420","","","","108,147,145","20"," inquisitor's hauberk ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"24421","","","","118,868,955","20"," inquisitor's plateskirt ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","0"," any orb ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","","","","","","","","","","","",""
"24511","","","","392,763,062","50"," harmonized orb (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","",""
"24517","","","","155,677,831","50"," eldritch orb (bonus) ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"24514","","","","43,802,157","50"," volatile orb (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"24495","","","","1,050,609","100"," jar of dreams (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","70"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","20"," Amoxliatl ","","x","x","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"","","","","","1"," pendant of ates  (1, 3, 5, 7, 9) ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","",""
"","","","","","1"," pendant of ates  (2, 4, 6, 8, 10) ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","",""
"29889","","","","55,985","4"," glacial temotli  (1, 3, 5, 7, 9) ","","x","x","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"29889","","","","55,985","4"," glacial temotli  (2, 4, 6, 8, 10) ","","x","x","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"","","","","","40"," pet (bonus) ","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","40"," Grotesque Guardians ","","x","x","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","","","","x","","","","","","","","","","",""
"4153","","","","125,491","3"," granite maul ","","x","x","x","x","x","","x","x","","","","","","","","","","","x","x","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x",""
"21736","","","","29,084","6"," granite gloves ","","x","x","","","","","x","x","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","x","x","","","","","","","",""
"21739","","","","20,629","6"," granite ring ","","x","x","x","x","x","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","x","x","","","x","","","","",""
"21742","","","","5,548,211","9"," granite hammer ","","x","x","x","x","","","x","","","","","","","","","","","","x","x","","","","","x","x","x","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","","",""
"21730","","","","1,024,996","12"," tourmaline core ","","x","x","x","x","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","","","","","","x","","","","",""
"21745","","","","1,370,394","70"," jar of stone (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","40"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","",""
"","","","","","40"," Abyssal Sire ","","x","x","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","","","x","x","","","","","x","","","","",""
"","","","","1,033,748","4"," unsired   (1, 6, 11, 16, 21) ","","x","x","x","","","","x","","","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","","","x","x","","","","","x","x","","","",""
"","","","","1,033,748","4"," unsired   (2, 7, 12, 17, 22) ","","x","x","x","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","","","x","x","","","","","x","x","","","",""
"","","","","1,033,748","4"," unsired   (3, 8, 13, 18, 23) ","","x","x","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","","","x","x","","","","","x","x","","","",""
"","","","","1,033,748","4"," unsired   (4, 9, 14, 19, 24) ","","x","x","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","","","x","x","","","","","x","x","","","",""
"","","","","1,033,748","4"," unsired   (5, 10, 15, 20, 25) ","","x","x","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","","","x","x","","","","","x","","","","",""
"","","","","","20"," Kraken (boss) ","","x","x","x","","","","x","x","x","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","","","x","","","","","","","","","","",""
"12004","","","","267,222","4"," kraken tentacle  (1, 3, 5, 7, 9) ","","x","x","x","x","","","x","x","x","","","","","","","","","","x","","","","","","x","x","x","","","","","","","","","","x","x","x","x","","","x","x","","","","","x","x","x","x","","","x","","","","","","x","","","","",""
"12004","","","","267,222","4"," kraken tentacle  (2, 4, 6, 8, 10) ","","x","x","x","x","","","x","x","x","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","","","x","","","","","","","","","","",""
"11905","","","","797,754","5"," trident of the seas  (1, 3, 5, 7, 9) ","","x","x","x","","","","x","x","x","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x","","x","x","","","","","","","","","",""
"11905","","","","797,754","5"," trident of the seas  (2, 4, 6, 8, 10) ","","x","x","x","","","","x","x","x","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","x","x","","","x","x","","","","","x","x","x","x","","","x","x","","","","","","","","","",""
"12007","","","","42,276","10"," jar of dirt (bonus) ","","x","x","","","","","x","x","x","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","","","","","","","","","",""
"","","","","","30"," pet (bonus) ","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","x","x","x","","","","","","","","","","x","","","","","","","","","","",""
"","","","","","30"," Cerberus ","","x","x","","","","","x","x","","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","","","x","x","","","","","","","","","",""
"13233","","","","1,992,455","8"," smouldering stone ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","","","","","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","","","","","","","","","",""
"13231","","","","18,082,230","8"," primordial ","","x","x","","","","","x","x","","","","","","","","","","","x","x","x","","","","x","x","x","x","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","","","x","x","x","x","","","x","","","","",""
"13237","","","","33,976,747","8"," pegasian  ","","x","x","x","x","","","x","x","x","","","","","","","","","","x","x","x","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","","","","","","","",""
"13227","","","","3,186,248","8"," eternal ","","x","x","x","x","","","x","x","x","x","x","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","","","x","x","x","","","","x","","","","",""
"13245","","","","65,487","30"," jar of souls (bonus) ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","","","","","","","","","","x","x","","","","","x","","","","","","","","","","",""
"","","","","","50"," pet (bonus) ","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","30"," Araxxor  ","","x","x","x","","","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","","","","x","x","","","","","x","","","","",""
"29796","","","","14,722,517","4"," noxious  (1, 4, 7, 10, 13) ","","x","x","x","","","","x","x","x","x","","","","","","","","","x","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","","","","x","x","x","","","","x","","","","",""
"29796","","","","14,722,517","4"," noxious  (2, 5, 8, 11, 14) ","","x","x","x","","","","x","x","x","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","","","","x","x","x","","","","x","","","","",""
"29796","","","","14,722,517","4"," noxious  (3, 6, 9, 12, 15) ","","x","x","x","","","","x","x","x","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","","","","x","x","x","","","","x","","","","",""
"","","","","","5"," araxyte head ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x",""
"29801","","","","34,710,621","12"," araxyte fang ","","x","x","x","","","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","","","","x","x","","","","","x","x","","","",""
"","","","","","30"," jar of venom (bonus) ","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","x","","","","","","","","","",""
"","","","","","45"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","","","","",""
"","","","","","30"," Thermonuclear Devil ","","x","","","","","","","","","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","","","x","","","","","","","","","","",""
"4675","","","","60,305","1"," ancient staff ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x",""
"12002","","","","395,605","3"," occult necklace ","","x","x","x","x","x","","x","","","","","","","","","","","","x","x","x","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x",""
"11998","","","","1,947,773","4"," smoke battlestaff ","","x","x","x","x","x","","x","x","x","x","","","","","","","","","x","x","","","","","x","x","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","x","x","x",""
"3140","","","","193,601","16"," dragon chainbody ","","x","","","","","","","","","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","","","","","x","","","","","","x","","","","","","x","","","","","","","","","","",""
"25524","","","","92,627","16"," jar of smoke (bonus) ","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","x","x","x","x","","","x","","","","","","","","","","",""
"","","","","","24"," pet (bonus) ","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","","","","","",""
